id,income
48155,57274
48011,82285
48025,115120
48195,68309
48205,54322
48415,88857
48449,60152
48461,101141
48261,83937
48343,98289
48355,70327
48377,53815
48437,92312
48447,55826
48481,42629
48493,53077
48269,64988
48333,51921
48421,54682
48267,54453
48045,45252
48057,48440
48111,52689
48307,47878
48365,52638
48041,48134
48309,51064
48001,70528
48141,39270
48187,54769
48005,57632
48047,58345
48067,45280
48079,51666
48089,54050
48113,N
48129,52912
48227,55419
48237,63531
48257,17.2
48325,12.9
48397,22.6
48407,20.2
48427,30.7
48491,10.6
48497,33.9
48135,5.9
48213,9.7
48277,19.9
48299,12.4
48339,17.3
48387,15.4
48401,13
48459,13
48137,13.4
48235,11.4
48033,14.4
48035,11.1
48073,14.5
48167,10.2
48185,7.4
48191,15.2
48243,27.3
48245,11.2
48319,14.5
48341,54.7
48353,16.7
48411,30.2
48433,20.6
48445,10.9
48027,6.6
48055,12.8
48063,18.4
48075,13.1
48095,15.9
48107,17.4
48147,18.5
48171,14.9
48197,30.9
48199,20.4
48209,16.4
48217,11.3
48225,10
48233,24
48247,15.5
48279,-
48305,23.7
48323,12.2
48331,12.6
48373,10.2
48393,17.9
48395,9.6
48403,16.8
48417,42
48419,28.1
48465,14.1
48471,12.7
48489,13.2
48505,-
48015,17.9
48087,5.1
48139,10.8
48159,6.2
48175,13
48183,2.1
48375,12.4
48485,8.6
48009,11.5
48017,14.2
48083,12.1
48101,13.3
48119,9.8
48193,4.5
48301,2.6
48389,8.5
48413,12.7
48003,2.8
48013,10.5
48037,15.7
48043,19.8
48053,6.4
48059,7.3
48065,12.4
48077,-
48097,13.1
48105,9.4
48109,9.5
48115,88.5
48125,20.1
48127,13.7
48169,-
48173,10.2
48201,23.5
48207,25
48223,10.7
48249,7
48255,13.1
48265,14
48273,19.6
48281,5.7
48285,15.1
48293,12.4
48321,29.3
48345,8.4
48363,13.5
48367,13.3
48369,10.6
48391,18.9
48405,18.7
48425,14.1
48435,12.9
48439,23.5
48441,25.9
48451,10.2
